"Country","timePeriod","yieldStability","productionStability","yield","production","yieldAsynchrony","productionAsynchrony","richness","diversity","nitrogen","nitrogen_ha","irrigation","irrigation_share","instabilityTemp","instabilityPrec","warfare"
"ECU",1991,26.0533370568937,13.5331797695405,5598151.90249257,13846527454000,0.945770195994817,0.833585569137849,68,13.7349269459317,62550,0.0208611259338314,31687091.2,10.568,-43.0583947554931,-6.65518546023579,0.829813664596273
"ECU",2001,28.3742064173642,22.2623787638151,7642829.16752755,18136514648000,0.939970051308391,0.810565462341032,71,14.8112574459506,144163.3,0.0567411206272238,38009171.2,14.96,-65.9602976075362,-12.2828302346333,0.504895960832313
"SLV",1961,24.4920146142322,17.6175320764035,3970083.7510574,2362832619000,0.783625282188195,0.84889588097711,27,6.58549921688887,28855.5,0.0450585571517801,985575.6,1.539,-122.387292177404,-15.1719309722355,0.526492851135408
"SLV",1971,15.1042188484284,13.2422345335005,5271487.1133543,3913087847000,0.771443812030968,0.673330217973721,28,6.76068700104149,66016.5,0.0926937657961247,1724948.4,2.422,-72.8501219686057,-12.3165018669276,0.814760147601476
"SLV",1981,17.3387428106372,17.9590246524617,5481961.69605906,4065909863000,0.84253016633691,0.844562101245834,28,6.65492899121307,56135.9,0.0731889178617992,2127658,2.774,-62.1355207725269,-9.97600495151169,1.22626695217702
"SLV",1991,13.65621522011,13.9516302926515,6276862.98621097,4941240964000,0.916953928962169,0.656457000816848,33,6.43296382361068,54404,0.0639896494942366,2569304.4,3.022,-91.9631503012125,-6.270323364795,0.829813664596273
"SLV",2001,26.9567306068354,23.6217308402762,7503582.28515225,5311907086000,0.943294868597841,0.738877517604355,36,6.55640797742862,56498,0.0618275333771066,2663727,2.915,-64.9416904878106,-5.76286545397292,0.504895960832313
"ERI",2001,2.68217961110841,2.31401004825894,1759730.08723622,1086151131000,0.576299768733281,0.410781143492706,22,8.70570996882169,1126.55555555556,0.00177354464035824,177856,0.28,-38.4327542384813,-5.81187739170706,0.504895960832313
"EST",2001,9.56527784938712,7.99813204067918,7823499.33720671,2918440280000,0.779715941555953,0.416150264270265,27,6.08012002163135,24347.7,0.0401585050058553,84880.6,0.14,-14.8381939239813,-5.40785833593372,0.504895960832313
"SWZ",1961,18.8319756609919,12.3893087307487,3974514.9459036,594545362000,0.565413210811423,0.591286017772082,19,5.20524054957528,2741.3,0.0190765483646486,375344.4,2.612,-58.9279289868962,-5.72101398483248,0.526492851135408
"SWZ",1971,11.7264091759341,11.7687598190649,7769933.64386231,1070198847000,0.907702694130358,0.370923947591196,20,6.49081078012448,5241.6,0.0305989492119089,487519.8,2.846,-60.7684112213619,-7.40258998538125,0.814760147601476
"SWZ",1981,13.0648731827855,11.8857742280224,9996555.5415617,1632349911000,0.571730590209387,0.647646428303818,20,5.8873364818391,6790.8,0.0400873671782763,574435.4,3.391,-65.092850867551,-5.38538796996969,1.22626695217702
"SWZ",1991,22.9013066416419,22.6666218056099,10430941.629716,1699194354000,0.75558157447441,0.833351091094265,20,6.23484932546528,3102.1,0.0162413612565445,760944,3.984,-44.9209593825863,-5.95411039373707,0.829813664596273
"SWZ",2001,15.206883666968,23.5769659183288,11942239.7916644,1815072365000,0.86577300005574,0.681792744258855,27,6.18822862066706,2000,0.0104384133611691,782111.2,4.082,-46.3764965297874,-4.01250603201349,0.504895960832313
"ETH",1961,61.2423555114861,81.4840720174837,2368792.77157022,2.0270536e+13,0.930814626431115,0.812148920433468,38,12.144209097024,1070,8.54905720677533e-05,3254160,0.26,-85.8372453156183,-13.0822157719257,0.526492851135408
"ETH",1971,12.4037049095967,7.12718717354395,2983196.33980557,22028758094000,0.764026847327883,0.449941043452727,40,13.7322667614381,9242.3,0.000673435780852661,3664334.7,0.267,-55.7528915587113,-24.7802116077534,0.814760147601476
"ETH",1981,9.80869888130314,9.14201313973071,3658673.35325224,26077542895000,0.688179788655787,0.461322426152437,44,14.3401819558824,20740,0.00167035799138243,3501453,0.282,-55.914932763673,-13.3459032471891,1.22626695217702
"ETH",1991,12.3623343886668,7.3391253766446,3802034.07174555,32557035257000,0.806491962341743,0.430992640573478,41,13.5347728701148,53797.1,0.00502950552994961,8749573.4,0.818,-60.152780843748,-13.9213711346017,0.829813664596273
"ETH",2001,15.2819284374719,15.1861971274121,4566645.41392153,56245948066000,0.881351360060345,0.70510691336199,62,14.2580301476769,93419,0.00697784722668312,18448581.32,1.378,-82.7758144896995,-14.4195484729288,0.504895960832313
"FJI",1961,8.78774225527733,9.29197062922886,11714572.7214546,859229983000,0.883666595339938,0.295596670561981,25,4.62567011954879,4360.3,0.0289913563829787,67228.8,0.447,-88.6099588237806,-6.8986451552606,0.526492851135408
"FJI",1971,10.165487815861,6.504724582988,12841137.5067866,899874876000,0.801777172392667,0.213359313005433,26,3.15736974496117,8762.9,0.0552515762925599,62488.4,0.394,-76.6543763811614,-5.17821008226205,0.814760147601476
"FJI",1981,6.10024692750969,5.81120240204034,13001517.0592346,1220774877000,0.773622091130733,0.260415371932887,26,3.29985878115771,10570,0.0520689655172414,58058,0.286,-97.3983048496558,-6.9604780083359,1.22626695217702
"FJI",1991,11.442436630193,11.0771505332932,9999643.16156243,1565098504000,0.879490677053456,0.583422504697696,28,4.01751999194697,8450,0.0326633165829146,166861.5,0.645,-86.222339142263,-4.06598148604783,0.829813664596273
"FJI",2001,15.4744298246965,13.6377111627865,8916441.21187308,1319982710000,0.889856052497139,0.563567030874974,33,4.78121617400548,5199.2,0.0205859993664872,224020.72,0.887,-96.8062014285862,-7.33551417787912,0.504895960832313
"FIN",1961,10.8031157683044,11.530214798922,7148087.34386374,8564989636000,0.826565548034125,0.539478131223177,20,4.51477836749758,105139.2,0.039107011344616,720518,0.268,-4.98340141153694,-9.38431625323115,0.526492851135408
"FIN",1971,12.0900253793119,9.52019110010071,9133223.35139647,12187814880000,0.775226304615022,0.521634155182033,20,4.14048499905043,190022.6,0.0778022256978848,3675781.9,1.505,-3.91297465973019,-5.91805787475983,0.814760147601476
"FIN",1981,5.66272488919916,5.40661584390968,9961384.84811815,13368929984000,0.371888470273093,0.239611015487109,20,4.43580080537082,207843.1,0.090795673465465,5503068.52,2.404,-4.34554548842766,-11.6656376270954,1.22626695217702
