"Country","timePeriod","yieldStability","productionStability","yield","production","yieldAsynchrony","productionAsynchrony","richness","diversity","nitrogen","nitrogen_ha","irrigation","irrigation_share","meanTemp","instabilityTemp","meanPrec","instabilityPrec","warfare"
"GAB",1971,42.4626782942348,12.8748724659285,5249351.52882423,30917808000,0.142383487329981,0.311363218627668,2,1.2568147819193,116.7,0.000303038171903402,30808,0.08,10.5642214303167,-87.996998310487,6.38309205248786,-11.5748098651425,0.814760147601476
"GAB",1981,27.3178780313295,6.90283579561855,5357925.21345233,62332184000,0.313967004095582,0.164246919462333,2,1.14506589021356,536.9,0.00118651933701657,36200,0.08,10.4982783544951,-87.1126902432548,6.39349939815709,-8.65142832593616,1.22626695217702
"GAB",1991,32.1740443501419,14.2240246877541,5399790.10493806,103217419000,0.450390352719027,0.337941898912819,3,1.55777389615064,110,0.00022883295194508,38456,0.08,10.8456041686501,-63.1700924126438,6.27826754744078,-12.2674566862001,0.829813664596273
"GAB",2001,43.3933343687026,20.2093476595272,5232141.99423114,127331551000,0.632011364453083,0.0607687473718097,3,1.61053704317766,608.8,0.00122989898989899,39600,0.08,10.963571100966,-100.918837821151,5.76937659387249,-9.34057635674695,0.504895960832313
"GMB",1961,18.3341804083763,6.86746586295527,3573237.09246777,98940320000,0.750327640795757,0.24700572114034,2,1.26685005622067,40.7,0.000315993788819876,24472,0.19,10.1429458092703,-65.2547330972646,3.13444575209767,-5.86009257754928,0.526492851135408
"GMB",1971,4.71324589440796,4.32143373801891,3725819.62193012,100602160000,0.386460721931603,0.274431962960099,2,1.6088480490804,538.4,0.00331731361675909,28889.4,0.178,10.2330909190986,-67.4064077963861,2.62569095101568,-5.75303219256986,0.814760147601476
"GMB",1981,7.164295188525,7.13262513584428,4678527.80863952,129086184000,0.592726696803984,0.572824557668188,2,1.91740226051913,1114.6,0.00593819925412893,31909,0.17,10.4969369993745,-81.4882368435204,2.48632024494232,-6.53510028321063,1.22626695217702
"GMB",1991,5.06188168898278,3.68731656515424,4575782.23086459,116096148000,0.140171841384572,0.188632700954931,2,1.96106914262587,564.9,0.00275695461200586,73354.2,0.358,10.8631805151096,-96.4516643540855,2.66968883509168,-6.44194131103915,0.829813664596273
"GMB",2001,5.96156249724732,2.79763197082437,4132942.73053123,236950604000,0.318017430771828,0.0689075387487197,2,1.94110869652903,1376.33333333333,0.0040349848529268,165774.6,0.486,11.0160031800182,-129.246170119144,3.17672574952768,-5.54119906173919,0.504895960832313
"GEO",2001,7.21154204928185,5.24421595687543,6861843.4447618,1645831475000,0.617477361481494,0.367764863249423,3,1.92610319560087,18551.8,0.0260120583286596,11759241.6,16.488,5.12271674159241,-20.7214462471248,3.56771283019043,-11.2039224050314,0.504895960832313
"DEU",1961,13.327606413908,12.7767467989523,11907134.0162529,23381982440000,0.126770030974678,0.209392341911305,2,1.09879459807847,1267680,0.100671045003693,24894977.1,1.977,7.90686694812725,-13.5251007125099,5.05285516912637,-7.45238945326334,0.526492851135408
