"Level","Year","meanTemp","sdTemp","meanPrec","sdPrec"
"BGD",2015,25.3059555893874,0.305500985074616,19.2890802175898,59.6549589196401
"BGD",2016,25.8863013978235,0.25295453488317,18.7532460464806,47.7966300513952
"BGD",2017,25.5391771376636,0.27650077219353,21.451963042206,70.3870614419574
"BGR",1961,11.3191811312276,4.88519223696849,4.5141248986133,0.75443071910659
"BGR",1962,11.2632353036777,4.90983598306305,4.8508343418506,0.785633988393842
"BGR",1963,10.7218526969664,4.52862482023268,4.92914954758021,0.698792824349788
"BGR",1964,10.4639817308601,4.89351569472364,4.62410543853333,0.736830392444052
"BGR",1965,10.3995800875133,4.83742650053515,4.43923873902304,0.830147230746164
"BGR",1966,11.8310988614316,5.37235328954176,6.59142990826985,1.39981880689849
"BGR",1967,10.8213265667818,4.96543957957227,4.58264849774233,1.13860632680409
"BGR",1968,11.1703492629556,5.05694822314102,4.57902117357918,0.601085064174892
"BGR",1969,10.3630527000744,4.68079292948885,5.39345139117454,0.554391637894783
"BGR",1970,11.0703895662694,5.31610566390857,5.28414588471523,1.08564194160799
"BGR",1971,10.6633771861791,5.03722771470922,5.63525789621231,0.741777600955772
"BGR",1972,10.844509083697,4.69385810413034,5.37706309958047,0.688934281197477
"BGR",1973,10.4044959022426,4.78383161960182,4.86947731851342,0.673218996708956
"BGR",1974,10.7422482334527,4.95171628780971,4.23904330572211,0.709315466369055
"BGR",1975,11.2094727660865,4.9056484691613,5.17254237744887,0.832215781223614
"BGR",1976,10.0625602062437,4.8520510994737,4.87426652617456,1.64583357419923
"BGR",1977,11.1320721996368,4.48052519388617,4.59078820314423,0.593597089670816
"BGR",1978,10.3857595253655,4.48808100082851,5.04413118927191,0.664081956979333
"BGR",1979,11.0718367857527,4.65732092844452,5.32267557398616,0.873376864664744
"BGR",1980,10.0335480850383,4.6846934568838,5.32820111461565,0.897749690835213
"BGR",1981,10.8387164947041,5.01294613936169,4.99689618961198,0.645562778374445
"BGR",1982,10.6105198768388,4.33990787029587,4.78658691533341,0.828673593860327
"BGR",1983,10.8465524517634,4.93633586311143,4.23574511849785,1.25196164273141
"BGR",1984,10.7410728095571,4.67420443421058,4.66765425293333,0.745486720421815
"BGR",1985,10.3360164497102,4.47404577792214,3.59835746564432,0.487451929946566
"BGR",1986,10.7119595757737,4.32515710123,3.73169348981002,0.58560174001759
"BGR",1987,10.3561592940104,4.42178349995741,4.84734277918379,0.847172905845381
"BGR",1988,10.7465481548101,4.606659734761,4.35377026821751,0.572918995445722
"BGR",1989,11.1222515069138,4.67985906313749,4.05348710181823,0.602079405048701
"BGR",1990,11.5226154830345,4.71417671307216,3.63925146877788,0.936561604617812
"BGR",1991,10.0690534606445,4.64290741579069,5.11496469470688,1.74069215641097
"BGR",1992,10.8941542403771,5.01009339914936,3.51958237235335,0.867333230802029
"BGR",1993,10.5666481959968,4.29731075544994,4.18782984141908,0.881423793348787
"BGR",1994,11.927359175081,4.70124955904679,4.45174853029775,1.04070315561661
"BGR",1995,10.5271950467249,4.95302520734057,4.97675010048396,0.99251291117615
"BGR",1996,10.3290224094079,4.33656285285784,4.87245039998605,0.658578688421915
"BGR",1997,9.94288043913459,4.6021936381344,4.94006624542773,0.934118425474403
"BGR",1998,10.8710172688243,4.52208254014548,4.93841783599023,1.38104744403272
"BGR",1999,11.5880533779719,4.90246918857366,4.65449428837663,0.906061881495179
"BGR",2000,11.6877922460874,4.69133665307992,3.01330846393188,0.618011251538506
"BGR",2001,11.4472013004531,4.80439937552086,3.92388083104166,0.713971736580214
"BGR",2002,11.4162279599597,4.5787088845233,5.75059809328903,0.979051455307432
"BGR",2003,10.6647943588457,4.53354472090458,5.28629757468819,0.764187175188027
"BGR",2004,11.0703838902478,5.08128169529076,5.13501609357833,0.772448618956963
"BGR",2005,10.5237140588331,4.97691126255559,7.10247204238985,1.54812082783985
"BGR",2006,10.9133392484862,4.66346503164507,4.71006624829018,0.741909706951502
"BGR",2007,12.1062494460361,4.76374347736538,5.42882079944691,0.991944132443837
"BGR",2008,11.7648571278827,4.7315861731582,3.89115412077348,0.718399060296329
"BGR",2009,11.6756614561472,4.76371545477154,5.64118788387226,0.791090189589918
"BGR",2010,11.5281389403274,4.7066947883882,6.33913586355797,0.573069483553902
"BGR",2011,10.8086440476219,4.37501674146795,4.23896933824556,0.633488163978359
"BGR",2012,11.9118345630576,4.73267535217807,4.87939535293459,0.669905625538351
"BGR",2013,11.880684709716,4.72197306723266,4.87334073305408,0.578511403683508
"BGR",2014,11.681228454473,4.77168146310203,7.66458292210851,0.815629520228393
"BGR",2015,12.0741774103134,5.15318622163188,5.71989294950775,0.70136224221057
"BGR",2016,11.9314683364063,5.06181573974931,5.39565025459044,0.8179454185989
"BGR",2017,11.6288869225552,5.18298495315579,5.16296763916243,0.851447103279935
"BHS",1961,25.0827121797689,0.000337627740788381,5.65155494796258,0.0391890719038344
"BHS",1962,24.7243788437127,0.000337627062922789,7.68699903718044,0.0351266634052113
"BHS",1963,24.5799497832265,0.000494750424867069,7.65084946055314,0.0257407978159967
"BHS",1964,25.06604586006,0.000337627062922773,9.58218023353397,4.71461033334747e-05
"BHS",1965,24.9278550708702,0.000374102121443297,9.82896549172369,0.00108752197193996
"BHS",1966,24.6646181325286,7.57554708812296e-05,11.9730284874963,0.00205719492719425
"BHS",1967,24.8493790026584,0.000337627062922789,6.2891439716826,0.0650353587674506
"BHS",1968,24.3007600960324,0.000270286690283481,12.5230860477123,0.0167182975305364
"BHS",1969,24.6785225988334,0.00015805858692259,11.2624375356656,0.0197995496981107
"BHS",1970,24.3479977712367,0.000412446952054826,7.39605691581834,0.240500825854864
"BHS",1971,24.6473303677073,0.000733237360944982,8.0753386746735,0.0294663329383075
"BHS",1972,25.0820449696971,0.000632232492478668,9.70181192184143,0.00460896469550586
"BHS",1973,24.6167593700609,0.000538705856127647,10.9468561777465,0.00990285183509487
"BHS",1974,24.6362811657304,0.00181064893049171,8.48215057566187,0.000283157397543127
"BHS",1975,24.9835188990675,0.00215482342451055,10.6161142553675,5.98513839808869e-07
"BHS",1976,24.4424732933206,0.000786546968549902,11.726153986499,0.00345730334772771
"BHS",1977,24.639664530548,0.000412446202836109,9.15676665691834,0.00197899585288167
"BHS",1978,24.7764739693279,0.000452663802415437,11.2692100223152,0.0325302295556136
"BHS",1979,24.8070449933179,0.000632229709666205,12.0866919484578,0.00574858405652547
"BHS",1980,24.8632834026621,0.000494750424867069,11.1066890146912,0.00333332588548312
"BHS",1981,24.6674269298132,0.000270288509812862,7.13640635726892,0.00545904077137648
"BHS",1982,25.3709491998639,0.000841726027153537,10.4550196439967,0.00157215871658137
"BHS",1983,25.099379029002,0.000337625707193614,12.7438221426313,0.00032356027119604
"BHS",1984,24.7070447444503,0.000632231564873833,11.5998424124174,0.00225471927368846
"BHS",1985,24.9000928568943,0.000538704143628945,11.0966121153824,0.000444469039525928
"BHS",1986,25.2070449033961,0.000632231564873833,8.56931887282973,0.00814127664196307
"BHS",1987,25.071616762339,0.000494748783720098,13.1840924165515,0.000344770943047127
"BHS",1988,25.1410455766805,0.000337627740788382,12.8542548204663,0.000486182641420549
"BHS",1989,25.4896644088371,0.000412447701274191,9.89875874784054,0.000230530764887942
"BHS",1990,25.8334258432699,0.000538704999877946,9.65096216014607,6.32232709886107e-06
"BHS",1991,25.764664530548,0.000412446202836109,14.2914308321648,0.00058453333835465
"BHS",1992,25.2292362014789,0.000303021883524933,8.66795705697964,0.00201356172418902
"BHS",1993,25.4459030588804,0.000303021883524947,12.0855322673104,0.00013244094525107
"BHS",1994,25.8966165716041,0.000494748783720098,10.8298315531953,0.00385477697722991
"BHS",1995,25.4215701735847,0.000113165754379711,14.9502140792109,2.10441340388772e-06
"BHS",1996,24.9333800492442,0.000134676249969487,11.1047376706684,1.49640723707417e-05
"BHS",1997,25.8319986879431,0.000183308591018826,13.2745263126237,0.000420341620157499
"BHS",1998,25.8945217030249,0.000374101407901143,9.31101783988548,0.000130225512404377
"BHS",1999,25.5174268344457,0.000270288509812862,9.91318704956732,0.0010811544183207
"BHS",2000,25.2056174038343,0.000239425586057373,11.6623053956753,0.00145922704940319
"BHS",2001,25.3375696964808,0.000303022525712634,14.1852678913076,0.00104333415572189
"BHS",2002,26.0729976758693,0.000412446952054826,12.0507601970752,0.000270287069351599
"BHS",2003,26.3167129375295,0.000134676249969487,7.99849104501214,0.00155686177103372
"BHS",2004,25.4924266464337,0.000270289116324003,6.22014662986699,0.00292249126090221
"BHS",2005,25.7667595317294,0.000538706712378009,8.08511579566657,0.000841728962150502
"BHS",2006,25.644567971165,0.000957697777560793,9.94637471925897,0.000191249404269507
"BHS",2007,26.2140435041401,0.00149640705868857,11.6594363541384,0.000236440317725734
"BHS",2008,26.3397573002433,0.00189388837749959,9.62388968433751,0.00273730811403917
"BHS",2009,26.05437539826,0.00272719695172444,8.84627004770323,0.00326666610398617
"BHS",2010,25.4973304712432,0.000733240357820784,7.90530699696159,0.000608146872665507
"BHS",2011,26.2939470719137,0.00243259476878361,7.49920845465969,0.000109087449409338
"BHS",2012,25.8112813301218,0.00181065207007538,10.7673628765454,0.0012391734735006
"BHS",2013,25.9022340072276,0.00142252171666957,8.69787092354797,3.48004841610436e-05
"BHS",2014,26.142519503328,0.00157215999649624,6.52624130244106,0.000230530532958976
"BHS",2015,26.530710133572,0.00149640420452135,6.52971630570924,0.000355631081389759
"BHS",2016,26.1911385552858,0.0017292800761493,10.5557629597952,0.00119197246758265
"BHS",2017,26.6244717932517,0.00172928007614933,7.48463023460315,0.000847349623340362
"BIH",1961,10.0239205372371,6.56817036999438,8.19808956758511,6.91078529229146
"BIH",1962,8.87540791785382,6.78933677099347,9.02955765349194,7.92565466475974
