Monfreda2008,harvestedAreaFAO,Group1,Group2,Calories,Protein,Fat,Considerations1,Considerations2,Considerations3,FoodGroup,GrowthLength,GrowthStructure
mixedgrass,NA,NA,NA,NA,NA,NA,,,,forage,annual/perennial,herbaceous
mushroom,Mushrooms and truffles,NA,NA,NA,NA,NA,Only plants considered,,,vegetables and melons,annual,herbaceous
mustard,Mustard seed,mustard,mustard,4690000,249000,288000,,,,oil crops,annual,herbaceous
nutmeg,"Nutmeg, mace and cardamoms",nutmeg,nutmeg,5250000,58000,363000,,,Nutrients from NUTMEG,other,perennial,shrub
nutnes,"Nuts, nes",nutnes,nutnes,2620000,70000,250000,,,,tree nuts,perennial,tree
oats,Oats,oats,oats,3850000,130000,75000,,,,cereals,annual,herbaceous
oilpalm,Oil palm fruit,oilpalm,oilpalm,1580000,3000,132000,,,,oil crops,perennial,tree
oilseedfor,NA,NA,NA,NA,NA,NA,,,,forage,annual,herbaceous
oilseednes,Oilseeds nes,oilseednes,oilseednes,3870000,147000,317000,,,,oil crops,annual,herbaceous
okra,Okra,okra,okra,310000,16000,3000,,,,vegetables and melons,annual,herbaceous
olive,Olives,olive,olive,1750000,13000,175000,,,,oil crops,perennial,tree
onion,"Onions, dry",onion,NA,NA,NA,NA,Same species,Avoid double counting,,vegetables and melons,annual,herbaceous
orange,Oranges,orange,orange,340000,7000,1000,,,,fruit,perennial,tree
papaya,Papayas,papaya,papaya,260000,4000,1000,,,,fruit,perennial,tree
pea,"Peas, dry",pea,NA,NA,NA,NA,Same species,Avoid double counting,,pulses,annual,herbaceous
peachetc,Peaches and nectarines,peachetc,peachetc,330000,5000,1000,,,,fruit,perennial,tree
pear,Pears,pear,pear,540000,4000,4000,,,,fruit,perennial,tree
pepper,Pepper (piper spp.),pepper,pepper,2760000,107000,27000,,,Nutrients from PEPPER WHITE/LONG/BLACK,other,perennial,shrub
peppermint,Peppermint,peppermint,peppermint,NA,NA,NA,,,,other,perennial,herbaceous
persimmon,Persimmons,persimmon,persimmon,820000,6000,3000,,,,fruit,perennial,tree
pigeonpea,Pigeon peas,pigeonpea,pigeonpea,3430000,209000,17000,,,,pulses,annual,herbaceous
pimento,"Chillies and peppers, green",chilleetc,pimento,250000,11000,3000,,,,other,annual,herbaceous
pineapple,Pineapples,pineapple,pineapple,260000,2000,2000,,,,fruit,perennial,shrub
pistachio,Pistachios,pistachio,pistachio,2890000,103000,242000,,,,tree nuts,perennial,tree
plantain,Plantains and others,plantain,plantain,750000,8000,3000,,,,fruit,perennial,shrub
plum,Plums and sloes,plum,plum,520000,7000,6000,,,Nutrients from PLUMS,fruit,perennial,tree
popcorn,NA,maize,NA,NA,NA,NA,Same species,Avoid double counting,,NA,NA,NA
poppy,Poppy seed,poppy,poppy,5330000,180000,447000,,,,oil crops,annual,herbaceous
potato,Potatoes,potato,potato,670000,16000,1000,,,,roots and tubers,annual,herbaceous
pulsenes,"Pulses, nes",pulsenes,pulsenes,3400000,220000,20000,,,,pulses,annual,herbaceous
pumpkinetc,"Pumpkins, squash and gourds",pumpkinetc,pumpkinetc,190000,9000,1000,,,,vegetables and melons,annual,herbaceous
pyrethrum,"Pyrethrum, dried",pyrethrum,pyrethrum,NA,NA,NA,,,,other,perennial,shrub
quince,Quinces,quince,quince,350000,2000,1000,,,,fruit,perennial,tree
quinoa,Quinoa,quinoa,quinoa,3420000,120000,50000,,,,cereals,annual,herbaceous
ramie,Ramie,ramie,ramie,NA,NA,NA,,,,fiber,perennial,shrub
rapeseed,Rapeseed,rapeseed,rapeseed,4940000,196000,450000,,,,oil crops,annual,herbaceous
rasberry,Raspberries,rasberry,rasberry,470000,9000,5000,,,,fruit,perennial,shrub
rice,"Rice, paddy",rice,rice,2800000,60000,14000,,,,cereals,annual,herbaceous
rootnes,"Roots and tubers, nes",rootnes,rootnes,910000,16000,2000,,,,roots and tubers,annual,herbaceous
rubber,"Rubber, natural",rubber,rubber,NA,NA,NA,,,,other,perennial,tree
rye,Rye,rye,rye,3190000,110000,19000,,,,cereals,annual,herbaceous
